surname,number
KARAS,6382
MISIAK,6379
GAWEL,6373
GRUSZCZYNSKI,6373
LUKASIEWICZ,6368
FLIS,6362
MASLOWSKI,6355
LAPINSKI,6345
SZAFRANSKI,6343
ZAJACZKOWSKI,6326
BUJAK,6324
KALUZA,6324
PIORKOWSKI,6310
PIWOWARCZYK,6286
BIELAWSKI,6279
FALKOWSKI,6271
JAGODZINSKI,6240
BOROWIEC,6230
JAGIELLO,6226
JEDRZEJCZAK,6217
KRAKOWIAK,6217
CZAPLA,6216
SKIBINSKI,6212
KALUZNY,6200
GUTOWSKI,6194
ZIELONKA,6193
LUKASZEWSKI,6181
KUBACKI,6177
LISIECKI,6162
WILCZEK,6132
SOLTYS,6102
DROZDOWSKI,6092
SOBIERAJ,6091
STELMACH,6090
WOZNY,6072
JURKIEWICZ,6071
URBANCZYK,6057
DZIUBA,6053
TARNOWSKI,6052
SZCZESNIAK,6051
JAKUBIAK,6046
SKOCZYLAS,6045
ANDRZEJCZAK,6042
RACZYNSKI,6042
TWARDOWSKI,6038
PILARSKI,6032
STRZELCZYK,6032
NOWACZYK,6029
PAKULA,6021
WASIAK,6016
KUBICA,6002
BARTOSIK,5996
CISZEWSKI,5980
GASIOROWSKI,5976
KEDZIORA,5966
DUBIEL,5906
MIERZEJEWSKI,5898
BOBER,5887
GOLAB,5863
BILSKI,5862
GUZIK,5848
MAJCHER,5823
GORNIAK,5814
STANEK,5795
KOPCZYNSKI,5784
MILCZAREK,5779
GORAL,5747
WIECEK,5726
FLOREK,5720
SZWED,5713
CHOLEWA,5712
STASZEWSKI,5697
KRUPINSKI,5687
STOLARCZYK,5687
MOTYKA,5677
SLOWINSKI,5655
BURY,5649
RUSIN,5643
MISZTAL,5639
JASKIEWICZ,5634
MATUSZAK,5625
KASZUBA,5619
WOLAK,5619
GRZYWACZ,5616
BIALY,5609
KUCHTA,5606
KAPUSTA,5597
RUCINSKI,5597
FLORCZAK,5596
KUC,5593
PYTEL,5589
KULIG,5578
SIEDLECKI,5578
BOZEK,5548
SIERADZKI,5535
KACZMARSKI,5529
PACZKOWSKI,5524
KOZA,5522
PROKOP,5519
NOGA,5518
MALICKI,5513
JEZIERSKI,5510
MICHALEK,5506
DOMINIAK,5505
ZWOLINSKI,5498
OLCZAK,5494
ZAGORSKI,5489
JANKOWIAK,5482
WOJTAS,5482
KEPA,5481
SKORA,5477
GWOZDZ,5471
ADAMUS,5443
STEPNIAK,5442
GALKA,5438
SITEK,5433
SWIERCZYNSKI,5430
IWANSKI,5429
DUDZIAK,5427
MODZELEWSKI,5427
PLONKA,5422
SOCHACKI,5413
BIELAK,5405
SZYSZKA,5398
BIENKOWSKI,5396
DEC,5385
JACKOWSKI,5381
JANUSZ,5371
SLAWINSKI,5369
DOBRZYNSKI,5362
CZECHOWSKI,5358
DUDZIK,5346
KNAPIK,5340
PAWLIKOWSKI,5328
PARTYKA,5324
MANKOWSKI,5320
LIPKA,5307
STACHURA,5307
KOLASA,5304
BRODA,5299
JURKOWSKI,5294
FILIPOWICZ,5281
KWIECINSKI,5277
WOS,5251
ROSA,5243
MROCZKOWSKI,5235
SZCZERBA,5214
MAJKA,5206
ADAMCZAK,5197
STANISLAWSKI,5192
SKALSKI,5188
MASLANKA,5179
SZATKOWSKI,5175
TRZECIAK,5175
WLODARSKI,5172
ADAMEK,5170
KITA,5163
PASZKOWSKI,5150
MOLENDA,5148
KOWALCZUK,5138
SKOWRONEK,5136
PUCHALSKI,5123
CHMURA,5110
CHOJNOWSKI,5105
KIELBASA,5105
MICHALCZYK,5104
KRUSZEWSKI,5098
SALAMON,5095
ZDUNEK,5095
ZUK,5076
KOBUS,5068
KOTOWSKI,5064
WYSZYNSKI,5055
AUGUSTYN,5047
BUCZYNSKI,5047
MROZEK,5044
KOGUT,5003
JANUSZEWSKI,4994
WARCHOL,4987
LENART,4986
ADAMIAK,4980
PIECHOTA,4973
NIEMCZYK,4968
DRABIK,4967
MARCHEWKA,4958
KOLAKOWSKI,4951
BANASIK,4948
ROBAK,4945
CHUDY,4942
NIEDZIELSKI,4935
GLOGOWSKI,4930
DROZDZ,4925
TOMALA,4923
STOLARSKI,4912
BUDZYNSKI,4901
GRZESIK,4892
MACIAG,4888
PILCH,4888
KAWA,4886
TOKARZ,4879
SOLTYSIAK,4878
KLOSOWSKI,4872
WYPYCH,4872
JARZABEK,4868
PILAT,4866
KOPER,4862
DABKOWSKI,4860
ADAMOWICZ,4859
NIEDZWIECKI,4844
BAKOWSKI,4838
PRZYBYL,4830
CHUDZIK,4826
GLAB,4825
KOS,4816
ZYLA,4816
JAGIELSKI,4812
KASPEREK,4805
MISKIEWICZ,4805
POREBSKI,4804
STANCZAK,4798
CZEKAJ,4796
SURMA,4793
FRATCZAK,4792
KANIEWSKI,4791
KALISZ,4789
JURCZAK,4788
WIACEK,4786
JAROS,4784
ZIETEK,4776
RUDZINSKI,4767
BUCZKOWSKI,4741
GORCZYCA,4736
TRACZ,4735
BARTNIK,4730
RYS,4723
GADOMSKI,4722
MALIK,4718
KUZMA,4715
BALCERZAK,4699
KUCINSKI,4693
SOJKA,4672
STACHURSKI,4665
URBANEK,4665
SZELAG,4663
GOLEC,4661
PRUS,4659
PIETRUSZKA,4648
CZERNIAK,4633
KOPACZ,4630
KORZENIOWSKI,4629
BIALKOWSKI,4628
BLASZCZAK,4622
WOLINSKI,4621
MOSKAL,4613
PIOTROWICZ,4612
ZABLOCKI,4591
RUDZKI,4590
STACHOWICZ,4584
RYBARCZYK,4581
RUDNIK,4574
FURMAN,4567
SLEZAK,4566
TRELA,4564
URBANOWICZ,4557
SEK,4555
WARZECHA,4555
GRUDZIEN,4552
LESIAK,4551
OLCZYK,4548
RADECKI,4535
KOSTECKI,4533
SZUBA,4533
KULINSKI,4517
SZYMKOWIAK,4516
ZIMNY,4515
MAGIERA,4513
KUJAWSKI,4512
KOSOWSKI,4506
OLEKSY,4501
KMIEĆ,4499
BUDZINSKI,4496
BIELSKI,4493
JURCZYK,4492
SKORUPA,4485
OSSOWSKI,4483
PELC,4465
WOZNICA,4462
WOJTASIK,4461
KAWECKI,4451
KOZIK,4451
NAPIERALA,4449
TOMASIK,4447
KRAKOWSKI,4446
PELKA,4444
PAWLICKI,4443
BIELINSKI,4440
ALEKSANDROWICZ,4429
SOBOTA,4426
BANASZEK,4423
KRUCZEK,4411
STAWICKI,4403
GRZESKOWIAK,4385
ROMAN,4385
MIERZWA,4382
SOBANSKI,4369
GUT,4368
SEKULA,4364
SMIGIELSKI,4362
WOLOSZYN,4347
SWIDER,4343
MACKIEWICZ,4338
POGORZELSKI,4338
WOJTKOWIAK,4314
MILLER,4312
PIWOWARSKI,4304
IZDEBSKI,4299
PIETKA,4294
SZWARC,4294
KRASOWSKI,4275
NIEDZIELA,4264
DUSZYNSKI,4263
RATAJCZYK,4251
JUSZCZYK,4238
KRUKOWSKI,4237
MAKUCH,4229
LITWIN,4216
HERMAN,4211
SWIATKOWSKI,4210
BOGACZ,4208
KNAP,4208
GRUDZINSKI,4207
MANKA,4205
JOZWIK,4188
KARCZ,4187
STUDZINSKI,4183
SZOT,4183
KAWKA,4181
SLEDZ,4181
LORENC,4172
SZAREK,4169
BISKUP,4164
ZUCHOWSKI,4163
LISZKA,4162
ROMANIUK,4148
POLANSKI,4146
FILIP,4141
WOJDA,4140
ROSZKOWSKI,4139
LUKASZEWICZ,4138
DROZDZ,4129
SIWIEC,4120
ROSZAK,4104
JEZIORSKI,4100
PAPROCKI,4097
GACEK,4090
KORCZAK,4085
RUSEK,4084
WISNIOWSKI,4083
KEDZIOR,4081
TKACZ,4079
KUSIAK,4077
ROZEK,4075
JAKUBCZYK,4061
BOBROWSKI,4058
KROLAK,4057
KOSMALA,4048
KWIATEK,4031
RYBKA,4030
DYMEK,4025
WRZESINSKI,4025
GRABARCZYK,4018
SIDOR,4011
GRZYBEK,4010
KORZENIEWSKI,4009
ADAMIEC,4007
KRASZEWSKI,4007
SZOPA,4007
WACH,4000
SZKUDLAREK,3993
KUKLA,3990
BORYS,3988
MIELCAREK,3979
GOLA,3966
TOKARCZYK,3964
NOWINSKI,3957
MALKOWSKI,3954
MAZIARZ,3953
SKONIECZNY,3950
TUROWSKI,3946
SPIEWAK,3942
