name,gender,number
GALINA,FEMALE,2044
MIRIAM,FEMALE,1990
ANA,FEMALE,1971
SALOMEA,FEMALE,1965
SVIATLANA,FEMALE,1957
TAISIIA,FEMALE,1952
INES,FEMALE,1947
LARA,FEMALE,1936
NATALIE,FEMALE,1888
EDELTRAUDA,FEMALE,1872
ANTONIA,FEMALE,1831
VITALINA,FEMALE,1791
LINA,FEMALE,1782
MARIETTA,FEMALE,1774
IZA,FEMALE,1773
ROMA,FEMALE,1773
SOPHIA,FEMALE,1758
VASYLYNA,FEMALE,1756
ALIAKSANDRA,FEMALE,1742
ARLETTA,FEMALE,1717
MAIIA,FEMALE,1712
ADELINA,FEMALE,1705
KLEMENTYNA,FEMALE,1705
ERIKA,FEMALE,1704
MANUELA,FEMALE,1695
ELINA,FEMALE,1674
KLAUDYNA,FEMALE,1642
VERONICA,FEMALE,1640
AMINA,FEMALE,1615
MARGARITA,FEMALE,1569
RUTA,FEMALE,1568
NADIYA,FEMALE,1563
GRETA,FEMALE,1552
YANINA,FEMALE,1544
SOFIYA,FEMALE,1542
LIVIA,FEMALE,1534
WIERA,FEMALE,1519
LYUDMYLA,FEMALE,1514
HELGA,FEMALE,1512
JANA,FEMALE,1505
ANDREA,FEMALE,1490
NIKA,FEMALE,1489
FLORENTYNA,FEMALE,1477
MARTINA,FEMALE,1466
ALA,FEMALE,1443
GERDA,FEMALE,1419
GLORIA,FEMALE,1403
KSENIYA,FEMALE,1401
ROKSOLANA,FEMALE,1386
LYUBOV,FEMALE,1380
DOBROSLAWA,FEMALE,1373
EKATERINA,FEMALE,1351
ISABELLA,FEMALE,1340
MIRA,FEMALE,1335
YARYNA,FEMALE,1332
MALINA,FEMALE,1325
INA,FEMALE,1319
LINDA,FEMALE,1308
EULALIA,FEMALE,1304
VALERIA,FEMALE,1298
IRMGARDA,FEMALE,1292
VIKTORIYA,FEMALE,1288
KATERINA,FEMALE,1285
JENNIFER,FEMALE,1281
JAROSLAWA,FEMALE,1279
YELIZAVETA,FEMALE,1278
BERNARDYNA,FEMALE,1277
NICOL,FEMALE,1276
PATRICIA,FEMALE,1270
SABRINA,FEMALE,1255
ELLA,FEMALE,1237
VIOLETA,FEMALE,1233
ARIANA,FEMALE,1231
VERANIKA,FEMALE,1221
ELVIRA,FEMALE,1220
DINA,FEMALE,1218
HANNAH,FEMALE,1214
BOGDANA,FEMALE,1209
WANESA,FEMALE,1207
MARCJANNA,FEMALE,1205
ELIZABETH,FEMALE,1189
MAJKA,FEMALE,1181
HANKA,FEMALE,1181
TEOFILA,FEMALE,1170
DZESIKA,FEMALE,1169
ERNA,FEMALE,1168
MARITA,FEMALE,1152
LUDMILA,FEMALE,1149
SIMONA,FEMALE,1148
ANDRIANA,FEMALE,1141
GABRIELLA,FEMALE,1131
ANIKA,FEMALE,1130
LARISA,FEMALE,1127
VALERYIA,FEMALE,1126
DANA,FEMALE,1122
PALINA,FEMALE,1121
WIRGINIA,FEMALE,1118
VERA,FEMALE,1114
LUBA,FEMALE,1114
LIANA,FEMALE,1110
TAMILA,FEMALE,1105
ALICE,FEMALE,1099
LILY,FEMALE,1089
ALESIA,FEMALE,1085
CARMEN,FEMALE,1081
DAJANA,FEMALE,1072
VLADA,FEMALE,1070
CAROLINE,FEMALE,1067
YULIANA,FEMALE,1066
NAOMI,FEMALE,1051
EMANUELA,FEMALE,1043
YULIA,FEMALE,1039
BALBINA,FEMALE,1033
DALIA,FEMALE,1023
NIKOLETTA,FEMALE,1020
ALICIA,FEMALE,1019
LIZAVETA,FEMALE,1017
BERENIKA,FEMALE,986
NELLY,FEMALE,981
VITALIIA,FEMALE,976
ELIZAVETA,FEMALE,974
BIANCA,FEMALE,953
AKSANA,FEMALE,952
LILIYA,FEMALE,949
RAMONA,FEMALE,948
KUNEGUNDA,FEMALE,936
INKA,FEMALE,934
IRMA,FEMALE,932
LILLY,FEMALE,927
DARINA,FEMALE,923
KORNELA,FEMALE,918
FILOMENA,FEMALE,916
SEWERYNA,FEMALE,914
KRYSTSINA,FEMALE,904
ULYANA,FEMALE,904
MAIA,FEMALE,902
ZAKLINA,FEMALE,899
KAYA,FEMALE,892
IDALIA,FEMALE,891
IWONNA,FEMALE,884
SWIETLANA,FEMALE,879
JOZEFINA,FEMALE,873
MICHAELA,FEMALE,873
BLANDYNA,FEMALE,871
AMALIA,FEMALE,870
HANA,FEMALE,866
NADZEYA,FEMALE,864
STEFANIIA,FEMALE,859
CRISTINA,FEMALE,857
BENEDYKTA,FEMALE,857
CAROLINA,FEMALE,856
EMILA,FEMALE,851
INGRID,FEMALE,848
MELANIIA,FEMALE,845
LUBOMIRA,FEMALE,843
LIGIA,FEMALE,839
ABIGAIL,FEMALE,838
NASTASSIA,FEMALE,823
MARIAM,FEMALE,820
MELISA,FEMALE,818
SYBILLA,FEMALE,815
MARIE,FEMALE,810
GABRYELA,FEMALE,798
ZOE,FEMALE,796
LEONTYNA,FEMALE,788
ROXANA,FEMALE,782
ALIONA,FEMALE,780
MELISSA,FEMALE,779
CELESTYNA,FEMALE,772
LEILA,FEMALE,771
MONICA,FEMALE,770
GRACJANA,FEMALE,766
INGEBORGA,FEMALE,760
FATIMA,FEMALE,738
SLAWA,FEMALE,733
TAISA,FEMALE,733
DOBRAWA,FEMALE,730
AURORA,FEMALE,729
CLARA,FEMALE,723
ZANETTA,FEMALE,718
MARGARETA,FEMALE,714
LEONIA,FEMALE,709
BERNARDETA,FEMALE,708
ELA,FEMALE,707
BENITA,FEMALE,688
DZIYANA,FEMALE,686
DOMICELA,FEMALE,676
LISA,FEMALE,676
MARGARYTA,FEMALE,675
NINO,FEMALE,669
TEKLA,FEMALE,669
KASANDRA,FEMALE,665
SILVIA,FEMALE,662
ORIANA,FEMALE,660
ORYSIA,FEMALE,659
MYLANA,FEMALE,655
JESIKA,FEMALE,655
INESA,FEMALE,653
IANA,FEMALE,647
KARIN,FEMALE,646
BERTA,FEMALE,646
ARYNA,FEMALE,638
JASMINA,FEMALE,637
TINA,FEMALE,636
NATALYA,FEMALE,635
EUNIKA,FEMALE,635
GIULIA,FEMALE,633
DAGNA,FEMALE,633
DOBROCHNA,FEMALE,631
JESSIKA,FEMALE,624
INHA,FEMALE,622
ELISABETH,FEMALE,621
NATHALIE,FEMALE,620
YAUHENIYA,FEMALE,620
ELISA,FEMALE,619
SELENA,FEMALE,618
JASMIN,FEMALE,615
SOFIJA,FEMALE,609
TAMAR,FEMALE,607
ZOYA,FEMALE,599
NATASHA,FEMALE,598
SYLVIA,FEMALE,593
NELLA,FEMALE,591
VALIANTSINA,FEMALE,590
NIKOLINA,FEMALE,589
TATYANA,FEMALE,589
SAMANTHA,FEMALE,586
LIA,FEMALE,580
MELANIE,FEMALE,580
LESYA,FEMALE,579
LIZA,FEMALE,578
MIROSLAVA,FEMALE,575
CATHERINE,FEMALE,575
NELLI,FEMALE,574
CHARLOTTE,FEMALE,571
LILI,FEMALE,568
LAILA,FEMALE,568
LUCIA,FEMALE,567
SUSANNA,FEMALE,564
MARIETA,FEMALE,557
BOZHENA,FEMALE,557
LETYCJA,FEMALE,552
LESLAWA,FEMALE,548
NELL,FEMALE,547
ORYNA,FEMALE,547
JULITTA,FEMALE,544
VIVIEN,FEMALE,538
CHRISTINA,FEMALE,533
MIRANDA,FEMALE,532
AUGUSTYNA,FEMALE,530
SAMIRA,FEMALE,530
KATHERINE,FEMALE,527
WILHELMINA,FEMALE,517
NOA,FEMALE,516
MIIA,FEMALE,514
ELMIRA,FEMALE,512
TEREZA,FEMALE,511
LUNA,FEMALE,509
ARIANNA,FEMALE,508
ARIADNA,FEMALE,507
MARIJA,FEMALE,506
KATHARINA,FEMALE,506
NIKOLETA,FEMALE,505
SYLWESTRA,FEMALE,504
JULIANA,FEMALE,502
KAREN,FEMALE,501
YAEL,FEMALE,500
ROZWITA,FEMALE,498
STANISLAVA,FEMALE,495
ROZA,FEMALE,494
MILOSLAWA,FEMALE,494
ELZA,FEMALE,487
OXANA,FEMALE,486
LAYLA,FEMALE,486
AGNES,FEMALE,485
VALERIYA,FEMALE,485
YUSTYNA,FEMALE,483
ALEVTYNA,FEMALE,480
ERNESTYNA,FEMALE,479
IZOLDA,FEMALE,476
RADOSLAWA,FEMALE,473
DOBROMILA,FEMALE,473
ANIA,FEMALE,473
EMA,FEMALE,467
ANGELICA,FEMALE,463
EUFEMIA,FEMALE,461
JASMINE,FEMALE,459
RYTA,FEMALE,456
CHRISTINE,FEMALE,455
RYMMA,FEMALE,452
LYUDMILA,FEMALE,452
PETRONELA,FEMALE,452
ALMA,FEMALE,451
HALSZKA,FEMALE,450
NEONILA,FEMALE,449
AIDA,FEMALE,449
CHIARA,FEMALE,447
MARGOT,FEMALE,447
LUDOMIRA,FEMALE,444
JACQUELINE,FEMALE,443
LIDIYA,FEMALE,441
SOLOMIYA,FEMALE,441
GAIA,FEMALE,434
MATILDA,FEMALE,434
INGRIDA,FEMALE,432
ISABELLE,FEMALE,428
MARTHA,FEMALE,427
MARGARET,FEMALE,426
RUTH,FEMALE,426
MARYANA,FEMALE,426
YEVANHELINA,FEMALE,424
ISMENA,FEMALE,419
IEVGENIIA,FEMALE,415
LUBOV,FEMALE,413
ANIDA,FEMALE,412
AMY,FEMALE,412
ISABEL,FEMALE,408
FRANCESCA,FEMALE,407
JELENA,FEMALE,407
FRYDERYKA,FEMALE,406
MICHAL,FEMALE,406
ZLATOSLAVA,FEMALE,404
ANDZELINA,FEMALE,404
CHLOE,FEMALE,404
AMIRA,FEMALE,403
DEBORA,FEMALE,402
ZENAIDA,FEMALE,401
KSYMENA,FEMALE,401
STEPHANIE,FEMALE,399
REHINA,FEMALE,398
NASTIA,FEMALE,397
MARY,FEMALE,395
YASMIN,FEMALE,394
BETINA,FEMALE,393
BENIGNA,FEMALE,393
CYRYLA,FEMALE,392
DELFINA,FEMALE,391
INESSA,FEMALE,391
JESICA,FEMALE,391
HIACYNTA,FEMALE,390
IRENE,FEMALE,386
NARCYZA,FEMALE,384
LUKRECJA,FEMALE,381
EMILIYA,FEMALE,379
PAOLA,FEMALE,377
LUBOW,FEMALE,377
LUCY,FEMALE,374
IWETTA,FEMALE,374
AMELIE,FEMALE,374
DAIANA,FEMALE,373
MADINA,FEMALE,371
GRACJA,FEMALE,371
JULIE,FEMALE,370
NADINE,FEMALE,369
ANNE,FEMALE,369
LADA,FEMALE,369
RACHEL,FEMALE,366
WALTRAUDA,FEMALE,366
IWETA,FEMALE,363
ZARINA,FEMALE,361
ANNA-MARIIA,FEMALE,360
VASILISA,FEMALE,359
OLESYA,FEMALE,359
NANA,FEMALE,359
LEYLA,FEMALE,358
ELIANA,FEMALE,354
NICOLETTA,FEMALE,354
SCHOLASTYKA,FEMALE,353
